Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Title,FareBin,prediction_label,prediction_score
2,male,21.0,1,0,11.5,S,2,0,Mr,Medium,0,0.869
1,female,31.0,0,0,134.5,C,1,1,Miss,VeryHigh,1,0.9802
1,male,49.0,0,0,0.0,S,1,1,Mr,Low,0,0.9343
2,male,44.0,0,0,13.0,S,1,1,Mr,Medium,0,0.9046
1,female,54.0,1,1,81.8583,S,3,0,Mrs,VeryHigh,1,0.9312
1,female,45.0,0,0,262.375,C,1,1,Miss,VeryHigh,1,0.9595
3,female,22.0,2,0,8.6625,S,3,0,Miss,Medium,0,0.7111
2,male,21.0,0,0,11.5,S,1,1,Mr,Medium,0,0.8866
1,male,55.0,0,0,50.0,S,1,1,Mr,VeryHigh,0,0.8424
3,male,5.0,4,2,31.3875,S,7,0,Master,High,0,0.6907
3,male,27.0,0,0,7.75,Q,1,1,Mr,Low,0,0.956
3,male,26.0,0,0,7.8792,Q,1,1,Mr,Low,0,0.9538
3,female,27.0,0,0,14.5,S,1,1,Mrs,High,1,0.6902
3,female,19.0,1,0,16.1,S,2,0,Mrs,High,1,0.5516
2,male,27.0,0,0,12.875,S,1,1,Mr,Medium,0,0.8792
2,female,24.0,1,2,65.0,S,4,0,Miss,VeryHigh,1,0.8665
3,male,24.0,0,0,7.775,S,1,1,Mr,Low,0,0.9684
2,male,57.0,0,0,13.0,S,1,1,Mr,Medium,0,0.9094
3,male,21.0,0,0,7.75,Q,1,1,Mr,Low,0,0.9513
3,male,6.0,3,1,21.075,S,5,0,Master,High,0,0.5951
1,male,23.0,0,0,93.5,S,1,1,Mr,VeryHigh,0,0.5884
1,female,51.0,0,1,39.4,S,2,0,Mrs,VeryHigh,1,0.9324
3,male,13.0,0,2,20.25,S,3,0,Master,High,1,0.7276
2,male,47.0,0,0,10.5,S,1,1,Mr,Medium,0,0.8467
3,male,29.0,3,1,22.025,S,5,0,Mr,High,0,0.9714
1,female,18.0,1,0,60.0,S,2,0,Mrs,VeryHigh,1,0.9702
3,male,24.0,0,0,7.25,Q,1,1,Mr,Low,0,0.9581
1,female,48.0,1,1,79.2,C,3,0,Mrs,VeryHigh,1,0.9485
3,male,22.0,0,0,7.775,S,1,1,Mr,Low,0,0.9671
3,male,31.0,0,0,7.7333,Q,1,1,Mr,Low,0,0.9454
1,female,30.0,0,0,164.8667,S,1,1,Miss,VeryHigh,1,0.9787
2,male,38.0,1,0,21.0,S,2,0,Mr,High,0,0.7909
1,female,22.0,0,1,59.4,C,2,0,Miss,VeryHigh,1,0.9551
1,male,17.0,0,0,47.1,S,1,1,Mr,VeryHigh,0,0.6204
1,male,43.0,1,0,27.7208,C,2,0,Mr,High,0,0.7194
2,male,20.0,0,0,13.8625,C,1,1,Mr,Medium,0,0.6573
2,male,23.0,1,0,10.5,S,2,0,Mr,Medium,0,0.8602
1,male,50.0,1,1,211.5,C,3,0,Mr,VeryHigh,1,0.5569
3,female,27.0,0,0,7.7208,Q,1,1,Miss,Low,1,0.7277
3,female,3.0,1,1,13.775,S,3,0,Miss,Medium,1,0.6189
3,female,27.0,0,0,7.75,Q,1,1,Miss,Low,1,0.7852
1,female,37.0,1,0,90.0,Q,2,0,Mrs,VeryHigh,1,0.9813
3,female,28.0,0,0,7.775,S,1,1,Miss,Low,0,0.5378
3,male,27.0,0,0,8.05,S,1,1,Mr,Medium,0,0.9451
1,female,39.0,0,0,108.9,C,1,1,Rare,VeryHigh,1,0.8842
3,male,38.5,0,0,7.25,S,1,1,Mr,Low,0,0.981
3,male,27.0,0,0,8.05,S,1,1,Mr,Medium,0,0.9451
3,male,27.0,1,1,22.3583,C,3,0,Master,High,1,0.7057
